,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
72,tomaka/cpal,30878,Cargo,cpal,5,tomaka,cpal,13601520,2,1398,290,21,629,40,0,0,0,0,0,0,4
141,rust-lang-nursery/glob,31022,Cargo,glob,137,rust-lang-nursery,glob,26736745,9,1510,72,6,163,3,0,0,252,0,0,0,7
142,SiegeLord/RustGnuplot,31024,Cargo,gnuplot,5,SiegeLord,RustGnuplot,4010119,1,1950,126,5,502,13,0,466,0,0,1,0,1
144,GuillaumeGomez/rust-GSL,31033,Cargo,GSL,5,GuillaumeGomez,rust-GSL,11068970,1,1535,69,5,290,9,0,0,0,0,0,0,2
145,sunng87/handlebars-rust,31036,Cargo,handlebars,50,sunng87,handlebars-rust,14375811,3,1389,286,6,1151,108,0,0,0,1,1,2,2
146,sunng87/handlebars-iron,31037,Cargo,handlebars-iron,6,sunng87,handlebars-iron,14796689,0,1373,133,6,454,33,0,331,0,0,1,1,2
148,vladikoff/rust-hkdf,31046,Cargo,hkdf,1,vladikoff,rust-hkdf,14689379,0,1377,3,3,34,2,710,90,711,407,0,3,4
151,hyperium/http,31055,Cargo,http,3,hyperium,http,74084661,2,575,105,17,104,40,0,85,0,0,0,0,3
154,inotify-rs/inotify,31065,Cargo,inotify,7,inotify-rs,inotify,74783589,1,1644,31,3,65,8,10,8,6,6,0,143,18
157,cgaebel/iobuf,31075,Cargo,iobuf,4,cgaebel,iobuf,11758329,1,1498,31,5,362,4,18,18,18,24,1,0,11
158,aatxe/irc,31078,Cargo,irc,6,aatxe,irc,14317781,0,1491,288,4,533,79,0,0,0,0,0,0,9
160,iron/iron,31081,Cargo,iron,113,iron,iron,10215762,8,1583,5243,34,684,187,0,0,0,0,0,0,2
161,iron/iron-test,31082,Cargo,iron-test,12,iron,iron-test,55858440,1,1524,11,1,2,2,4,0,0,0,6,590,2
78,alexcrichton/curl-rust,30897,Cargo,curl,90,alexcrichton,curl-rust,10174891,4,1583,244,7,460,59,0,0,1,0,0,2,2
170,sebcrozet/kiss3d,31097,Cargo,kiss3d,5,sebcrozet,kiss3d,4321928,1,1943,465,12,508,40,0,0,0,0,0,1,4
173,reem/rust-lazy,31103,Cargo,lazy,1,reem,rust-lazy,11094953,0,1533,105,2,67,4,0,0,119,0,0,6,3
174,benashford/rust-lazysort,31104,Cargo,lazysort,3,benashford,rust-lazysort,13693990,0,1424,31,1,91,1,0,0,1089,0,0,0,2
175,rust-lang-nursery/lazy-static.rs,31105,Cargo,lazy_static,898,rust-lang-nursery,lazy-static.rs,26476913,25,1569,364,9,317,38,0,4,208,0,8,6,3
176,skade/leveldb,31109,Cargo,leveldb,3,skade,leveldb,8755113,1,1663,73,2,225,12,0,0,788,0,2,0,3
179,rust-lang/libc,31115,Cargo,libc,1719,rust-lang,libc,15086786,37,1366,353,50,1884,148,0,0,0,2,1,1,3
514,diwic/dbus-rs,569421,Cargo,dbus,20,diwic,dbus-rs,13574723,2,1417,145,7,364,88,0,0,0,2,1,1,3
187,alexcrichton/libz-sys,31129,Cargo,libz-sys,13,alexcrichton,libz-sys,13921439,3,1439,9,7,740,13,0,0,244,0,0,1,4
188,alexcrichton/link-config,31133,Cargo,link-config,1,alexcrichton,link-config,10735862,1,1555,16,4,37,4,0,0,10,80,0,0,6
1435,diesel-rs/diesel,1106065,Cargo,diesel,24,diesel-rs,diesel,35284118,3,1138,2194,58,4722,596,0,1,0,0,1,1,4
89,docopt/docopt.rs,30920,Cargo,docopt,234,docopt,docopt.rs,2405030,11,1581,571,20,343,83,0,0,0,0,0,0,1
193,iron/logger,31142,Cargo,logger,6,iron,logger,10314049,1,1577,28,12,115,26,0,0,16,0,1,0,4
199,stainless-steel/matrix,31151,Cargo,matrix,6,stainless-steel,matrix,13134164,1,1466,18,2,631,0,63,1,916,24,0,63,32
201,aisk/rust-memcache,31156,Cargo,memcache,1,aisk,rust-memcache,13832845,0,1918,21,5,218,8,2,1,0,2,0,0,2
204,hyperium/mime,31161,Cargo,mime,341,hyperium,mime,66749133,7,1505,30,6,40,14,0,0,0,1,0,0,1
206,reem/rust-modifier,31167,Cargo,modifier,7,reem,rust-modifier,13006581,3,1442,23,1,29,8,0,0,684,0,110,0,4
209,chris-morgan/mopa,31171,Cargo,mopa,10,chris-morgan,mopa,14754531,3,1374,43,1,25,4,0,0,514,0,0,10,1
211,iron/mount,31173,Cargo,mount,24,iron,mount,10349237,2,1575,52,11,139,18,0,0,32,0,0,0,1
214,abonander/multipart,31181,Cargo,multipart,23,abonander,multipart,43594162,3,1450,60,10,316,31,0,9,0,1,1,0,2
216,nickel-org/rust-mustache,31184,Cargo,mustache,10,nickel-org,rust-mustache,13499232,2,1432,81,12,133,21,0,18,4,4,3,1,3
217,blackbeam/rust-mysql-simple,31186,Cargo,mysql,14,blackbeam,rust-mysql-simple,8031784,2,1695,237,8,745,92,0,0,0,0,1,0,2
218,sebcrozet/nalgebra,31187,Cargo,nalgebra,70,sebcrozet,nalgebra,3720212,5,1975,794,31,947,149,0,1,0,0,1,0,2
224,brendanzab/noise-rs,31205,Cargo,noise,8,brendanzab,noise-rs,42195445,2,1899,75,7,49,27,34,15,19,0,1,0,10
225,Geal/nom,31207,Cargo,nom,225,Geal,nom,13609448,5,1417,2309,55,1448,309,0,0,0,0,7,2,2
226,passcod/notify,31208,Cargo,notify,37,passcod,notify,49558459,1,1399,260,7,202,38,0,0,0,1,1,0,4
229,alexcrichton/oauth2-rs,31216,Cargo,oauth2,1,alexcrichton,oauth2-rs,10576409,0,1561,53,7,285,12,0,0,32,2,0,0,3
232,kvark/obj,31219,Cargo,obj,4,kvark,obj,66401006,1,492,7,3,11,0,0,124,0,0,1,0,5
1220,dherman/esprit,944156,Cargo,unjson,3,dherman,esprit,22092709,1,1306,171,4,188,14,0,30,310,258,11,23,4
240,bodoni/opentype,31230,Cargo,opentype,1,bodoni,opentype,24110012,1,1520,19,2,525,0,0,7,624,10,1,0,65
241,reem/rust-ordered-float,31231,Cargo,ordered-float,24,reem,rust-ordered-float,12904461,3,1445,25,3,36,9,0,0,0,0,19,0,1
243,kevinmehall/rust-peg,31239,Cargo,peg,20,kevinmehall,rust-peg,5045617,1,1879,490,13,372,83,0,0,0,0,1,1,2
244,bluss/petgraph,31240,Cargo,petgraph,34,bluss,petgraph,35550137,4,1388,397,13,537,50,0,0,0,1,0,0,5
245,iron/persistent,31242,Cargo,persistent,17,iron,persistent,10437251,1,1570,43,10,142,8,0,0,0,0,0,0,2
553,huonw/external_mixin,684416,Cargo,external_mixin_umbrella,2,huonw,external_mixin,16852728,1,1321,35,3,20,0,0,0,0,0,0,0,1
261,PistonDevelopers/sdl2_window,31260,Cargo,pistoncore-sdl2_window,19,PistonDevelopers,sdl2_window,12967032,3,1568,22,13,171,30,0,0,0,0,0,0,2
264,alexcrichton/pkg-config-rs,31263,Cargo,pkg-config,234,alexcrichton,pkg-config-rs,13059569,13,1439,47,9,1046,18,0,0,69,0,0,0,1
