,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
611,paulgb/runipy,76121,Pypi,runipy,1,paulgb,runipy,5411179,0,1851,417,9,264,34,0,0,0,0,0,5,1
613,lepture/safe,76287,Pypi,Safe,1,lepture,safe,10952327,0,1541,55,1,26,0,0,0,548,7,0,0,1
617,ggtracker/sc2reader,76612,Pypi,sc2reader,1,ggtracker,sc2reader,352272,0,2276,33,4,226,12,29,0,1233,6,1,0,2
618,dbader/schedule,76693,Pypi,schedule,1,dbader,schedule,3784912,0,1970,4437,3,183,88,0,190,15,0,2,2,1
619,keleshev/schema,76696,Pypi,schema,3,keleshev,schema,12917414,0,2243,1545,21,129,31,0,0,0,0,0,2,3
623,jbardin/scp.py,76851,Pypi,scp,1,jbardin,scp.py,790061,0,2780,235,6,87,47,0,0,144,0,3,1,2
625,scrapy/scrapyd,76887,Pypi,scrapyd,1,scrapy,scrapyd,2548458,0,2077,1281,17,189,95,0,4,0,0,1,5,2
628,k-bx/python-semver,77323,Pypi,semver,3,k-bx,python-semver,210133,0,2437,118,11,166,44,0,49,0,0,0,0,3
631,KushalP/serfclient-py,77488,Pypi,serfclient,1,KushalP,serfclient-py,7878657,0,1705,19,5,192,9,0,3,2,3,3,0,3
632,chop-dbhi/serrano,77535,Pypi,serrano,1,chop-dbhi,serrano,14244313,0,2591,6,3,164,25,437,131,643,208,0,1,4
633,pypa/setuptools,77620,Pypi,setuptools,190,pypa,setuptools,31512535,5,986,631,68,1652,375,0,0,0,0,1,1,3
635,shadowsocks/shadowsocks,77759,Pypi,shadowsocks,1,shadowsocks,shadowsocks,14537323,0,2364,24045,32,249,599,0,0,0,0,16,0,9
644,os/slacker,78664,Pypi,slacker,3,os,slacker,8525126,0,1673,1373,12,264,46,0,0,0,0,8,1,2
648,spotify/snakebite,79029,Pypi,snakebite,1,spotify,snakebite,3609827,0,1982,658,15,376,69,0,0,0,0,0,2,2
650,kiorky/SOAPpy,79147,Pypi,SOAPpy,1,kiorky,SOAPpy,166884,0,2788,69,3,26,2,0,24,167,0,0,65,2
651,SoCo/SoCo,79180,Pypi,soco,1,SoCo,SoCo,3114066,0,2037,905,23,893,249,0,8,14,3,6,7,3
