,Repository Name with Owner,ProjectIDLibrariesio,Platform,Lib_Name,Dependent Projects Count,ProjectOwner,ProjectName,ProjectIDGHTorrent,Vindex,ProjectAge,TotalWatchers,TotalCommitters,TotalCommits,TotalClosedIssues,PullRequestDuration,PullRequestCommentDuration,CommitsDuration,IssueCommentsDuration,PullRequestAcceptedDuration,PullRequestRejectedDuration,AvgPullRequestComments
8125,diffplug/matconsolectl,1052403,Maven,com.diffplug.matsim:matconsolectl,1,diffplug,matconsolectl,27562447,0,1331,40,3,63,11,0,0,841,1,2,8,2
8133,zmxv/react-native-sound,1053545,NPM,react-native-sound,5,zmxv,react-native-sound,27634001,0,1089,1447,21,145,161,0,0,0,0,5,0,2
8137,chariotsolutions/phonegap-nfc,1058105,NPM,phonegap-nfc,2,chariotsolutions,phonegap-nfc,56040,0,2675,387,11,195,233,0,0,0,0,0,22,3
8138,vstirbu/ZeroConf,1058649,NPM,cordova-zeroconf-plugin,1,vstirbu,ZeroConf,6997040,0,1759,39,5,27,19,0,0,0,2,0,2,1
8143,palaima/DebugDrawer,1059799,Maven,io.palaima.debugdrawer:debugdrawer,3,palaima,DebugDrawer,20424215,0,1236,963,8,156,25,0,0,0,0,1,4,4
8147,vaenow/cordova-plugin-app-update,1063653,NPM,cordova-plugin-app-update,1,vaenow,cordova-plugin-app-update,28159618,0,1078,170,3,146,52,0,0,6,0,0,0,1
8148,andpor/react-native-sqlite-storage,1064023,NPM,react-native-sqlite-storage,8,andpor,react-native-sqlite-storage,28165340,1,1078,1448,28,244,188,0,0,0,0,2,0,5
8153,kunder-lab/cl.kunder.webview,1065348,NPM,cordova-second-webview,1,kunder-lab,cl.kunder.webview,19353795,0,1285,28,6,56,10,0,5,324,0,0,0,1
8165,DataSketches/sketches-core,1072764,Maven,com.yahoo.datasketches:sketches-core,1,DataSketches,sketches-core,22094795,0,1201,548,12,1445,28,1,0,32,28,0,0,3
8168,Rohfosho/CordovaCallNumberPlugin,1074645,NPM,call-number,1,Rohfosho,CordovaCallNumberPlugin,10846462,1,1550,148,4,57,33,0,0,597,0,4,0,4
8178,couchbaselabs/react-native-couchbase-lite,1082685,NPM,react-native-couchbase-lite,1,couchbaselabs,react-native-couchbase-lite,33994951,0,932,89,8,142,66,0,320,0,1,0,4,1
7089,yammer/tenacity,422460,Maven,com.yammer.tenacity:tenacity-core,1,yammer,tenacity,7662401,0,1772,214,6,565,10,0,0,187,2,0,2,9
1948,yandex-qatools/htmlelements,359914,Maven,ru.yandex.qatools.htmlelements:htmlelements-java,4,yandex-qatools,htmlelements,855915,1,2205,234,26,456,49,0,296,7,5,1,1,4
1560,yandex-qatools/matchers-java,355364,Maven,ru.yandex.qatools.matchers:matcher-decorators,4,yandex-qatools,matchers-java,4258306,1,1934,51,10,67,1,1,186,0,22,0,0,6
8191,becvert/cordova-plugin-zeroconf,1085948,NPM,cordova-plugin-zeroconf,1,becvert,cordova-plugin-zeroconf,28823273,0,1062,52,3,68,49,0,0,15,1,2,0,2
8198,xseignard/cordovarduino,1090736,NPM,cordovarduino,1,xseignard,cordovarduino,6597976,0,1783,101,2,23,59,0,0,697,1,3,0,1
8201,domaframework/doma-spring-boot,1096355,Maven,org.seasar.doma.boot:doma-spring-boot-autoconfigure,1,domaframework,doma-spring-boot,28231223,0,1076,49,4,115,8,0,0,254,0,1,0,2
4671,yegor256/netbout,392956,Maven,com.netbout:netbout-client,1,yegor256,netbout,14873819,0,1999,32,25,530,355,29,24,7,45,1,1,6
5550,yegor256/rexsl,403542,Maven,com.rexsl:rexsl-core,3,yegor256,rexsl,3458847,1,1999,12,6,439,162,232,113,104,0,0,1,1
8229,fabric8io/fabric8-ipaas,1111339,Maven,io.fabric8.ipaas.apps:fabric8mq,2,fabric8io,fabric8-ipaas,25203933,0,1129,15,17,906,68,176,0,18,92,0,0,2
155,zml2008/configurate,337518,Maven,ninja.leaping.configurate:configurate-core,1,zml2008,configurate,14551358,0,1381,46,7,281,59,0,0,0,1,0,1,4
8235,testcontainers/testcontainers-java,1111922,Maven,org.testcontainers:testcontainers,1,testcontainers,testcontainers-java,22045242,0,1279,1386,88,1811,283,0,1,0,1,3,1,6
8242,sbugert/react-native-admob,1112509,NPM,react-native-admob,1,sbugert,react-native-admob,29670415,0,1039,654,15,135,202,0,0,0,0,23,2,1
8254,zo0r/react-native-push-notification,1120484,NPM,react-native-push-notification,5,zo0r,react-native-push-notification,29904082,0,1033,3189,11,190,319,0,0,0,0,10,0,2
8262,NativeScript/tns-core-modules-widgets,1123819,NPM,tns-core-modules-widgets,5,NativeScript,tns-core-modules-widgets,37301127,1,1185,7,30,282,5,24,80,8,6,0,0,2
8288,reactnativecn/react-native-http-cache,1135405,NPM,react-native-http-cache,3,reactnativecn,react-native-http-cache,30338533,0,1018,187,5,15,4,0,2,1,0,29,0,3
8289,eclipse/eclipse-collections,1135822,Maven,org.eclipse.collections:eclipse-collections-testutils,2,eclipse,eclipse-collections,29695887,0,1053,747,22,419,131,3,5,4,6,1,1,4
